"LFQ.intensity.H1","LFQ.intensity.H2","LFQ.intensity.H3","LFQ.intensity.L1","LFQ.intensity.L2","LFQ.intensity.L3","Fasta.headers","Reverse","Only.identified.by.site","Protein.IDs","Gene.names"
113980000,113500000,94927000,175840000,128790000,119370000,">sp|Q16851-2|UGPA_HUMAN Isoform 2 of UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2;>sp|Q16851|UGPA_HUMAN UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=5;>tr|E7EUC7|E7EUC7_HUMAN UTP--glucose-1-phosphate","","","Q16851-2;Q16851;E7EUC7;C9JNZ1;C9JWG0;C9JVG3;C9JQU9;C9JUW1;C9JTZ5;F2Z3H1","UGP2"
18147000,35117000,13437000,24441000,14698000,22579000,">sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3;>tr|B1ALC0|B1ALC0_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=3 SV=1;>sp|O15511-2|ARPC5_HUMAN Isoform 2 of Actin-related","","","O15511;B1ALC0;O15511-2","ARPC5"
60325000,19052000,83856000,240060000,50809000,80595000,">sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2","","","P47914","RPL29"
196170000,273110000,267010000,393910000,285070000,306240000,">tr|F5H6I4|F5H6I4_HUMAN RNA pseudouridylate synthase domain-containing protein 2 OS=Homo sapiens GN=RPUSD2 PE=3 SV=1;>sp|Q8IZ73|RUSD2_HUMAN RNA pseudouridylate synthase domain-containing protein 2 OS=Homo sapiens GN=RPUSD2 PE=1 SV=2;>tr|B4DDD1|B4DDD1_HUMAN","","","F5H6I4;Q8IZ73;B4DDD1","RPUSD2"
3320900000,3803700000,3535400000,1352400000,1536300000,1464700000,">sp|P16659|SYP_ECOLI Proline--tRNA ligase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4","","","P16659","proS"
408820000,300740000,357060000,584190000,589070000,586930000,">sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3;>tr|H0YB22|H0YB22_HUMAN 40S ribosomal protein S14 (Fragment) OS=Homo sapiens GN=RPS14 PE=4 SV=1;>tr|E5RH77|E5RH77_HUMAN 40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE","","","P62263;H0YB22;E5RH77","RPS14"
2284700,2862100,1502700,0,1658100,1287300,">sp|P77374|YNFE_ECOLI Putative dimethyl sulfoxide reductase chain ynfE OS=Escherichia coli (strain K12) GN=ynfE PE=3 SV=1","","","P77374","ynfE"
0,0,0,0,0,523600,">sp|Q9C0C4|SEM4C_HUMAN Semaphorin-4C OS=Homo sapiens GN=SEMA4C PE=1 SV=2","","","Q9C0C4","SEMA4C"
17124000,13138000,11684000,19125000,22932000,23882000,">sp|P63218|GBG5_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens GN=GNG5 PE=1 SV=3","","","P63218","GNG5"
22869000,20116000,14465000,22306000,22891000,24752000,">sp|Q86UV5|UBP48_HUMAN Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens GN=USP48 PE=1 SV=1;>tr|B7ZKS7|B7ZKS7_HUMAN USP48 protein OS=Homo sapiens GN=USP48 PE=2 SV=1;>sp|Q86UV5-2|UBP48_HUMAN Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 48 OS=Ho","","","Q86UV5;B7ZKS7;Q86UV5-2;Q86UV5-3;Q86UV5-7;Q86UV5-5;Q86UV5-4;H3BLX5;E9PJ93;Q86UV5-6","USP48"
1037100000,1092400000,1240200000,490840000,422210000,468700000,">sp|P15034|AMPP_ECOLI Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2","","","P15034","pepP"
758020000,756640000,752350000,1093300000,1204200000,1002200000,">sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5;>Q3KNV1 TREMBL:Q3KNV1;Q96GE1 Tax_Id=9606 Gene_Symbol=KRT7 keratin 7;>P08729 SWISS-PROT:P08729 Tax_Id=9606 Gene_Symbol=KRT7 Keratin, type II cytoskeletal 7;>tr|E7ES34|E7","","","P08729;CON__Q3KNV1;CON__P08729;E7ES34;F8VZY5;F5GZD1","KRT7"
20390000,21794000,21198000,4760800,10322000,8977700,">sp|P0AFB8|NTRC_ECOLI Nitrogen regulation protein NR(I) OS=Escherichia coli (strain K12) GN=glnG PE=3 SV=1","","","P0AFB8","glnG"
20357000,21012000,19689000,26726000,31088000,39346000,">sp|Q8IYS1|P20D2_HUMAN Peptidase M20 domain-containing protein 2 OS=Homo sapiens GN=PM20D2 PE=1 SV=2","","","Q8IYS1","PM20D2"
34671000,40028000,36715000,15087000,21476000,20239000,">sp|P37760|RMLD_ECOLI dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2","","","P37760","rfbD"
49624000,52348000,63349000,96478000,80072000,69769000,">sp|Q96IR7|HPDL_HUMAN 4-hydroxyphenylpyruvate dioxygenase-like protein OS=Homo sapiens GN=HPDL PE=1 SV=1","","","Q96IR7","HPDL"
0,0,0,0,0,2529400,">tr|B0S8I7|B0S8I7_HUMAN L antigen family member 3 OS=Homo sapiens GN=LAGE3 PE=4 SV=1;>sp|Q14657|LAGE3_HUMAN L antigen family member 3 OS=Homo sapiens GN=LAGE3 PE=1 SV=2","","","B0S8I7;Q14657","LAGE3"
14616000,13913000,0,11570000,16102000,11953000,">tr|Q4VXW4|Q4VXW4_HUMAN Opioid growth factor receptor OS=Homo sapiens GN=OGFR PE=2 SV=1;>tr|E7ESW4|E7ESW4_HUMAN Opioid growth factor receptor OS=Homo sapiens GN=OGFR PE=4 SV=1;>sp|Q9NZT2-2|OGFR_HUMAN Isoform 2 of Opioid growth factor receptor OS=Homo sapie","","","Q4VXW4;E7ESW4;Q9NZT2-2;Q9NZT2","OGFR"
113750000,194880000,134420000,47992000,63694000,65566000,">sp|P0A879|TRPB_ECOLI Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2","","","P0A879","trpB"
4543400,3409900,0,8499800,5593900,4790000,">sp|Q9Y3C4|TPRKB_HUMAN TP53RK-binding protein OS=Homo sapiens GN=TPRKB PE=1 SV=1;>sp|Q9Y3C4-3|TPRKB_HUMAN Isoform 3 of TP53RK-binding protein OS=Homo sapiens GN=TPRKB;>sp|Q9Y3C4-2|TPRKB_HUMAN Isoform 2 of TP53RK-binding protein OS=Homo sapiens GN=TPRKB","","","Q9Y3C4;Q9Y3C4-3;Q9Y3C4-2","TPRKB"
228260000,159930000,294530000,69550000,88490000,102360000,">sp|P37339|LHGO_ECOLI L-2-hydroxyglutarate oxidase LhgO OS=Escherichia coli (strain K12) GN=lhgO PE=1 SV=3","","","P37339","lhgO"
23079000,24419000,9466700,15038000,19461000,19549000,">sp|Q06124-3|PTN11_HUMAN Isoform 3 of Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11;>sp|Q06124-2|PTN11_HUMAN Isoform 2 of Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11;>sp|Q06124|PTN11_HUMAN Tyros","","","Q06124-3;Q06124-2;Q06124;H0YF12","PTPN11"
114170000,118660000,102780000,32357000,47957000,30929000,">sp|P30871|YGIF_ECOLI Uncharacterized protein ygiF OS=Escherichia coli (strain K12) GN=ygiF PE=4 SV=1","","","P30871","ygiF"
186660000,161820000,176720000,229440000,255460000,212080000,">sp|P48147|PPCE_HUMAN Prolyl endopeptidase OS=Homo sapiens GN=PREP PE=1 SV=2","","","P48147","PREP"
58250000,77625000,49913000,19955000,13561000,16351000,">sp|P0AG16|PUR1_ECOLI Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2","","","P0AG16","purF"
2.236e+09,3309200000,3221200000,3399500000,1843100000,1.252e+09,">sp|P64581|YQJD_ECOLI Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1","","","P64581","yqjD"
55845000,48602000,40038000,52889000,69532000,51983000,">sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2;>sp|Q9NZB2-6|F120A_HUMAN Isoform F of Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A;>sp|Q9NZB2-4|F120A_HUMA","","","Q9NZB2;Q9NZB2-6;Q9NZB2-4;Q9NZB2-2;Q9NZB2-5;H7C0T0;Q5T035","FAM120A"
14373000,15707000,10709000,45894000,20181000,24340000,">sp|O75208|COQ9_HUMAN Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens GN=COQ9 PE=1 SV=1;>tr|H3BPY0|H3BPY0_HUMAN Ubiquinone biosynthesis protein COQ9, mitochondrial (Fragment) OS=Homo sapiens GN=COQ9 PE=4 SV=1;>tr|H3BNT2|H3BNT2_HUMAN Ubi","","","O75208;H3BPY0;H3BNT2;H3BRC0;H3BSJ5","COQ9"
35088000,75489000,64527000,42937000,37899000,32897000,">sp|P0A8Y5|YIDA_ECOLI Phosphatase YidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1","","","P0A8Y5","yidA"
530760000,478620000,640400000,182810000,178300000,242520000,">sp|P12994|YBHB_ECOLI UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2","","","P12994","ybhB"
0,0,0,0,0,1134900,">tr|H0Y9N7|H0Y9N7_HUMAN Inhibitor of Bruton tyrosine kinase (Fragment) OS=Homo sapiens GN=IBTK PE=4 SV=1","","+","H0Y9N7","IBTK"
274860000,317630000,336910000,555010000,514850000,560190000,">P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha","","","CON__P01966",""
0,0,0,2198100,0,0,">sp|Q99805|TM9S2_HUMAN Transmembrane 9 superfamily member 2 OS=Homo sapiens GN=TM9SF2 PE=1 SV=1","","","Q99805","TM9SF2"
0,0,3650700,0,0,0,">sp|P0AF52|YJCD_ECOLI Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1;>sp|Q46817|YGFQ_ECOLI Putative permease ygfQ OS=Escherichia coli (strain K12) GN=ygfQ PE=3 SV=2","","","P0AF52;Q46817","yjcD;ygfQ"
3204700,4788600,0,6935000,6189000,4298900,">tr|H3BN64|H3BN64_HUMAN Zinc finger FYVE domain-containing protein 19 (Fragment) OS=Homo sapiens GN=ZFYVE19 PE=4 SV=1;>tr|H3BRM1|H3BRM1_HUMAN Zinc finger FYVE domain-containing protein 19 (Fragment) OS=Homo sapiens GN=ZFYVE19 PE=4 SV=1;>sp|Q96K21-3|ZFY19_H","","","H3BN64;H3BRM1;Q96K21-3;H3BRF9;Q96K21-2;Q96K21;H3BRI9;H3BUF9","ZFYVE19"
5329800,5468600,4973200,0,4389900,6066400,">tr|H0YA52|H0YA52_HUMAN Pterin-4-alpha-carbinolamine dehydratase 2 (Fragment) OS=Homo sapiens GN=PCBD2 PE=3 SV=1;>sp|Q9H0N5|PHS2_HUMAN Pterin-4-alpha-carbinolamine dehydratase 2 OS=Homo sapiens GN=PCBD2 PE=1 SV=4","","","H0YA52;Q9H0N5","PCBD2"
76871000,76146000,54379000,72711000,76952000,73725000,">sp|Q1ED39|CP088_HUMAN Protein C16orf88 OS=Homo sapiens GN=C16orf88 PE=1 SV=1","","","Q1ED39;H3BMC9;H3BNU8;H3BPL4","C16orf88"
0,0,0,0,0,421000,">sp|Q96JN0-2|LCOR_HUMAN Isoform 2 of Ligand-dependent corepressor OS=Homo sapiens GN=LCOR;>sp|Q96JN0|LCOR_HUMAN Ligand-dependent corepressor OS=Homo sapiens GN=LCOR PE=1 SV=2","","","Q96JN0-2;Q96JN0","LCOR"
1.6416e+10,1.5795e+10,1.5731e+10,2.2866e+10,2.3026e+10,2.3106e+10,">sp|P31327|CPSM_HUMAN Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2;>tr|H0YGP4|H0YGP4_HUMAN Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=3 SV=1;>sp|P31327-2|CPSM_HUMAN Isoform 2","","","P31327;H0YGP4;P31327-2;Q5R211;E7EWJ3;C9JTA4","CPS1"
76267000,67602000,89563000,131050000,86687000,112110000,">sp|P30520|PURA2_HUMAN Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3;>tr|F8W9D6|F8W9D6_HUMAN Adenylosuccinate synthetase OS=Homo sapiens GN=ADSS PE=3 SV=1","","","P30520;F8W9D6;Q5SY84;G3V2N1","ADSS"
898070000,902470000,958510000,374170000,381250000,359940000,">sp|P0AEP3|GALU_ECOLI UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2","","","P0AEP3","galU"
919380000,883120000,923380000,380860000,297790000,314670000,">sp|P0ADY1|PPID_ECOLI Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1","","","P0ADY1","ppiD"
0,0,0,17043000,0,0,">tr|F5H7R9|F5H7R9_HUMAN Parathymosin (Fragment) OS=Homo sapiens GN=PTMS PE=4 SV=1;>sp|P20962|PTMS_HUMAN Parathymosin OS=Homo sapiens GN=PTMS PE=1 SV=2;>tr|F5GXR3|F5GXR3_HUMAN Parathymosin OS=Homo sapiens GN=PTMS PE=4 SV=1","","","F5H7R9;P20962;F5GXR3","PTMS"
49815000,38144000,47662000,6829300,18414000,9160400,">sp|P0A8I8|RLMH_ECOLI Ribosomal RNA large subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rlmH PE=1 SV=1","","","P0A8I8","rlmH"
0,0,0,0,0,33544000,">tr|E9PKD1|E9PKD1_HUMAN Torsin-1A-interacting protein 1 (Fragment) OS=Homo sapiens GN=TOR1AIP1 PE=4 SV=1","","","E9PKD1","TOR1AIP1"
5612700000,5144800000,6161500000,8320100000,8642200000,8.523e+09,">sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4;>tr|B0YJC4|B0YJC4_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=3 SV=1;>tr|F5H288|F5H288_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=3 SV=1;>tr|B0YJC5|B0YJC5_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=3","","","P08670;B0YJC4;F5H288;B0YJC5;Q5JVS8;H7C5W5;P41219;P41219-2;Q16352;E9PBF7;P07196;E7EMV2;E7ESP9;P07197","VIM"
5477600,8226900,6043800,11182000,4751600,2827700,">tr|B0AZR7|B0AZR7_HUMAN Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens GN=KCNAB2 PE=2 SV=1;>sp|Q13303-2|KCAB2_HUMAN Isoform 2 of Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens GN=KCNAB2;>sp|Q13303|KCAB2_HUMAN Voltage-gated p","","","B0AZR7;Q13303-2;Q13303;Q13303-3;Q5TG80;C9JQ60;Q5TG81;Q14722-2;Q14722-3;Q14722","KCNAB2"
1873000,2495800,0,0,0,0,">sp|Q2T9J0-2|TYSD1_HUMAN Isoform 2 of Peroxisomal leader peptide-processing protease OS=Homo sapiens GN=TYSND1;>sp|Q2T9J0|TYSD1_HUMAN Peroxisomal leader peptide-processing protease OS=Homo sapiens GN=TYSND1 PE=1 SV=3","","","Q2T9J0-2;Q2T9J0","TYSND1"
976440,862740,0,1307100,1854700,1175600,">tr|G3V3B9|G3V3B9_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=4 SV=1;>sp|O43708-2|MAAI_HUMAN Isoform 2 of Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1;>tr|A6NED0|A6NED0_HUMAN Glutathione transferase zeta 1 (Maleylacetoacetate is","","","G3V3B9;O43708-2;A6NED0;G3V267;G3V5T0;O43708;G3V4T6","GSTZ1"
5959300000,6431500000,5925500000,3038300000,3766400000,2.842e+09,">sp|P0A7J7|RL11_ECOLI 50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2","","","P0A7J7","rplK"
0,0,18865000,0,0,0,">sp|P0AEB5|YNAI_ECOLI MscS family inner membrane protein YnaI OS=Escherichia coli (strain K12) GN=ynaI PE=1 SV=1","","","P0AEB5","ynaI"
0,2816400,0,3736800,0,0,">sp|P42702|LIFR_HUMAN Leukemia inhibitory factor receptor OS=Homo sapiens GN=LIFR PE=1 SV=1","","","P42702","LIFR"
27348000,32610000,21407000,23026000,30557000,38026000,">sp|O75717|WDHD1_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1;>tr|C9JW18|C9JW18_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=4 SV=2;>tr|F8W7P7|F8W7P7_HUMAN WD repeat and HMG-box DNA-b","","","O75717;C9JW18;F8W7P7;C9JYB3","WDHD1"
95571000,102870000,78451000,108950000,150020000,140910000,">sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1","","","Q13442;F8WBW6","PDAP1"
78654000,105340000,132150000,166280000,160730000,148660000,">sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2;>tr|A2A274|A2A274_HUMAN Aconitase 2, mitochondrial OS=Homo sapiens GN=ACO2 PE=4 SV=1;>tr|F5H2A5|F5H2A5_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=AC","","","Q99798;A2A274;F5H2A5;B4DW08;B4DEC3","ACO2"
0,0,7557000,0,0,0,">sp|P77747|OMPN_ECOLI Outer membrane protein N OS=Escherichia coli (strain K12) GN=ompN PE=1 SV=1","","+","P77747","ompN"
71450000,49037000,36999000,65507000,52487000,75712000,">sp|Q9UKY1|ZHX1_HUMAN Zinc fingers and homeoboxes protein 1 OS=Homo sapiens GN=ZHX1 PE=1 SV=1","","","Q9UKY1;H0YB50","ZHX1"
15487000,11048000,11426000,16877000,21069000,16570000,">sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=IVD PE=1 SV=1;>tr|H0YN10|H0YN10_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial (Fragment) OS=Homo sapiens GN=IVD PE=4 SV=1;>tr|H0YLC3|H0YLC3_HUMAN Isovaleryl-CoA dehydro","","","P26440;H0YN10;H0YLC3;H7C4G6;B3KVI7","IVD"
11263000,10125000,5085800,15180000,13423000,13376000,">sp|O95319-5|CELF2_HUMAN Isoform 5 of CUGBP Elav-like family member 2 OS=Homo sapiens GN=CELF2;>sp|O95319-2|CELF2_HUMAN Isoform 2 of CUGBP Elav-like family member 2 OS=Homo sapiens GN=CELF2;>tr|Q5VZZ6|Q5VZZ6_HUMAN CUG triplet repeat, RNA binding protein 2","","","O95319-5;O95319-2;Q5VZZ6;O95319;O95319-4;O95319-3;E9PC62;B4DIB6","CUGBP2;CELF2"
12079000,14368000,23759000,26022000,19162000,27695000,">sp|Q5VTR2|BRE1A_HUMAN E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens GN=RNF20 PE=1 SV=2","","","Q5VTR2;O60308","RNF20"
248110000,205620000,248850000,66630000,71633000,64366000,">sp|P64604|MLAD_ECOLI Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1","","","P64604","mlaD"
226720000,238960000,223130000,54725000,51334000,82191000,">sp|P76569|YFGD_ECOLI Uncharacterized protein YfgD OS=Escherichia coli (strain K12) GN=yfgD PE=1 SV=1","","","P76569;REV__Q8N9V3-2;REV__B8ZZF2;REV__Q8N9V3","yfgD"
153570000,255940000,199430000,347620000,416050000,458080000,">sp|P60953|CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2;>tr|Q5JYX0|Q5JYX0_HUMAN Cell division control protein 42 homolog (Fragment) OS=Homo sapiens GN=CDC42 PE=2 SV=1;>sp|P60953-1|CDC42_HUMAN Isoform 1 of Cell div","","","P60953;Q5JYX0;P60953-1;E7ETU3;F8WET9;B1AH79;G3V4H1;G3V476;P84095;Q9H4E5-2;P17081;Q9H4E5","CDC42"
0,63166000,50966000,0,0,0,">sp|Q16760-2|DGKD_HUMAN Isoform 1 of Diacylglycerol kinase delta OS=Homo sapiens GN=DGKD;>sp|Q16760|DGKD_HUMAN Diacylglycerol kinase delta OS=Homo sapiens GN=DGKD PE=1 SV=4;>tr|H7C0L1|H7C0L1_HUMAN Diacylglycerol kinase delta (Fragment) OS=Homo sapiens GN=D","","","Q16760-2;Q16760;H7C0L1;H7BZR7;F5GYP2;B4DZ34;Q86XP1-3;Q86XP1-2;Q86XP1","DGKD;DGKH"
24333000,17835000,30637000,6567500,4974300,7489900,">sp|P51024|YAIL_ECOLI Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2","","","P51024","yaiL"
0,12720000,0,0,13877000,12885000,">sp|Q9H2P9-3|DPH5_HUMAN Isoform 3 of Diphthine synthase OS=Homo sapiens GN=DPH5;>sp|Q9H2P9-2|DPH5_HUMAN Isoform 2 of Diphthine synthase OS=Homo sapiens GN=DPH5;>tr|E7EPS3|E7EPS3_HUMAN Diphthine synthase OS=Homo sapiens GN=DPH5 PE=4 SV=1;>sp|Q9H2P9-6|DPH5_H","","","Q9H2P9-3;Q9H2P9-2;E7EPS3;Q9H2P9-6;E7EN60;Q9H2P9-4;Q9H2P9;Q9H2P9-5","DPH5"
6462000,4410500,5241100,8416300,12006000,8010300,">sp|Q6UW68|TM205_HUMAN Transmembrane protein 205 OS=Homo sapiens GN=TMEM205 PE=1 SV=1","","","Q6UW68","TMEM205"
27806000,24626000,20883000,28902000,32023000,23480000,">tr|F5H5Q7|F5H5Q7_HUMAN Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2 PE=4 SV=1;>tr|F5H5G8|F5H5G8_HUMAN Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2 PE=3 SV=1;>tr|F5GXC8|F","","","F5H5Q7;F5H5G8;F5GXC8;Q9P2R7-2;Q9P2R7;Q5T9Q5;Q5T9Q8;B4E0J1","SUCLA2"
181770000,232090000,226300000,762080000,286270000,372110000,">sp|P58546|MTPN_HUMAN Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2;>tr|C9JL85|C9JL85_HUMAN Myotrophin OS=Homo sapiens GN=MTPN PE=4 SV=1","","","P58546;C9JL85","MTPN"
7479200,11970000,12479000,20504000,21832000,25994000,">sp|Q9NUQ3-2|TXLNG_HUMAN Isoform 2 of Gamma-taxilin OS=Homo sapiens GN=TXLNG;>sp|Q9NUQ3|TXLNG_HUMAN Gamma-taxilin OS=Homo sapiens GN=TXLNG PE=1 SV=2","","","Q9NUQ3-2;Q9NUQ3","TXLNG"
7915600,9782100,0,10009000,8562100,11761000,">sp|O00488|ZN593_HUMAN Zinc finger protein 593 OS=Homo sapiens GN=ZNF593 PE=1 SV=2;>tr|A9J4F5|A9J4F5_HUMAN Zinc finger protein 593 OS=Homo sapiens GN=ZNF593 PE=4 SV=1","","","O00488;A9J4F5","ZNF593"
8709300,7796300,5734000,8322400,14357000,7194700,">sp|Q93034|CUL5_HUMAN Cullin-5 OS=Homo sapiens GN=CUL5 PE=1 SV=4","","","Q93034;H0YCA0","CUL5"
1.2693e+10,1.3093e+10,1.3776e+10,5401300000,5336600000,5421500000,">sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1","","","P0A8V2","rpoB"
40387000,35842000,29724000,57370000,58154000,77498000,">sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2;>sp|P48739-2|PIPNB_HUMAN Isoform 2 of Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB;>tr|B7Z7Q0|B7Z7Q0_HUMAN Phospha","","","P48739;P48739-2;B7Z7Q0;B3KYB6;B3KYB7","PITPNB"
86302000,77210000,103140000,153350000,132470000,158930000,">sp|Q9UIG0-2|BAZ1B_HUMAN Isoform 2 of Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B;>sp|Q9UIG0|BAZ1B_HUMAN Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2","","","Q9UIG0-2;Q9UIG0","BAZ1B"
26898000,14880000,10933000,5559300,4505700,5656800,">sp|P69488|CUTA_ECOLI Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1","","","P69488","cutA"
0,0,0,9370800,0,6157900,">sp|O75380|NDUS6_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens GN=NDUFS6 PE=1 SV=1;>tr|D6RBT3|D6RBT3_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens GN=NDUFS6 PE=4 SV=1","","","O75380;D6RBT3","NDUFS6"
7811400000,7688400000,9766600000,3728800000,2993100000,3535700000,">sp|P69797|PTNAB_ECOLI PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2","","","P69797","manX"
0,0,0,12112000,4902700,0,">tr|C9JLH5|C9JLH5_HUMAN Elongator complex protein 6 homolog (Fragment) OS=Homo sapiens GN=C3orf75 PE=4 SV=1;>tr|C9JA82|C9JA82_HUMAN Elongator complex protein 6 homolog (Fragment) OS=Homo sapiens GN=C3orf75 PE=4 SV=1;>tr|C9J2D6|C9J2D6_HUMAN Elongator comple","","","C9JLH5;C9JA82;C9J2D6;C9J9N8;C9JEX8;C9IYN7;E9PFB3;Q0PNE2-2;Q0PNE2;F8WE64","C3orf75"
484700000,475970000,372320000,156400000,148480000,1.7e+08,">sp|P00393|DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2","","","P00393","ndh"
1672300,0,0,7479100,5978000,14136000,">sp|Q9Y3E5|PTH2_HUMAN Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1","","","Q9Y3E5","PTRH2"
48586000,37087000,33323000,58075000,50470000,42714000,">sp|Q86U44|MTA70_HUMAN N6-adenosine-methyltransferase 70 kDa subunit OS=Homo sapiens GN=METTL3 PE=1 SV=2;>tr|F5H6D8|F5H6D8_HUMAN N6-adenosine-methyltransferase 70 kDa subunit OS=Homo sapiens GN=METTL3 PE=4 SV=1;>tr|B4DTN4|B4DTN4_HUMAN N6-adenosine-methyltr","","","Q86U44;F5H6D8;B4DTN4;F5GXN0;H0YFV6;B4E349;F5GXI2;Q86U44-2","METTL3"
